acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.422,['Shungi Music Crew'],0.662,372962,0.606,0.915,7,0.0594,-7.026,0,Loving You,0,20-08-1928,0.0376,111.999,0.645,1928
0.987,"['George Butterworth', 'John Cameron']",0.238,173293,0.0324,0.000986,7,0.112,-24.361,0,A Shropshire Lad: Oh Fair Enough are Sky and Plain,0,1928,0.0541,172.321,0.0379,1928
0.983,['Ignacio Corsini'],0.668,151840,0.261,0.0232,7,0.122,-16.91,0,Abuelita - Remasterizado,0,14-05-1928,0.101,120.553,0.702,1928
0.989,['Perchicot'],0.769,140267,0.442,1.27E-06,2,0.167,-12.697,0,La Noce À Rebecca,0,1928,0.273,132.125,0.934,1928
0.994,"['Francisco Canaro', 'Charlo']",0.801,166493,0.113,0.206,4,0.129,-12.147,1,Por Esta Cruz - Remasterizado,0,20-09-1928,0.0837,117.063,0.672,1928
0.994,['Francisco Canaro'],0.854,200213,0.151,0.371,4,0.159,-11.163,0,Che Bouhier - Instrumental (Remasterizado),0,16-09-1928,0.137,110.331,0.781,1928
0.708,['Seweryn Goszczyński'],0.677,95900,0.204,0,1,0.104,-20.024,0,Chapter 4.10 - Zamek kaniowski,0,1928,0.957,84.826,0.667,1928
0.777,['Seweryn Goszczyński'],0.738,139100,0.282,0,1,0.29,-16.556,1,Chapter 2.11 - Zamek kaniowski,0,1928,0.952,140.612,0.703,1928
0.977,"['Frédéric Chopin', 'Vladimir Horowitz']",0.305,215267,0.083,0.697,6,0.231,-20.895,1,"Nocturne in F-Sharp Major, Op. 15, No. 2",1,1928,0.0331,80.622,0.0479,1928
0.993,"['Dmitry Kabalevsky', 'Vladimir Horowitz']",0.372,285133,0.0945,0.941,10,0.189,-22.709,0,"Sonata No. 3, Op. 46: II. Andante cantabile",0,1928,0.0317,59.217,0.0791,1928
0.99,"['Frédéric Chopin', 'Vladimir Horowitz']",0.337,333907,0.0699,0.903,5,0.106,-23.806,0,"Nocturne F Minor, Op. 55, No. 1",2,1928,0.0322,72.133,0.135,1928
0.995,['Francisco Canaro'],0.729,174720,0.191,0.455,4,0.103,-15.313,0,Timbero - Instrumental (Remasterizado),0,17-09-1928,0.108,112.565,0.902,1928
0.826,['Seweryn Goszczyński'],0.726,108800,0.249,0,9,0.173,-16.82,0,Chapter 3.4 - Zamek kaniowski,0,1928,0.952,112.379,0.559,1928
0.662,['Seweryn Goszczyński'],0.631,109900,0.23,0,1,0.145,-19.213,0,Chapter 1.13 - Zamek kaniowski,0,1928,0.959,83.401,0.595,1928
0.985,['Francisco Canaro'],0.81,169160,0.3,0.000885,4,0.13,-9.702,1,Mariposa de Cabaret - Instrumental (Remasterizado),0,25-09-1928,0.289,115.648,0.806,1928
0.985,"['Frédéric Chopin', 'Vladimir Horowitz']",0.355,138013,0.0452,0.825,1,0.153,-24.125,1,"Mazurka in F Minor, Op. 7, No. 3",2,1928,0.0329,84.551,0.276,1928
0.461,['Shungi Music Crew'],0.733,369721,0.613,0.951,7,0.122,-8.749,1,Rumours,0,20-08-1928,0.0383,123.019,0.26,1928
0.993,"['Franz Liszt', 'Vladimir Horowitz']",0.303,491333,0.226,0.826,3,0.119,-21.483,1,"Danse macabre, S. 555 (after Camille Saint-Saens)",0,1928,0.0444,67.013,0.146,1928
0.995,"['Robert Schumann', 'Vladimir Horowitz']",0.319,118093,0.00217,0.937,10,0.0791,-36.905,1,"Humoreske, Op. 20: Einfach",0,1928,0.0412,78.505,0.229,1928
