Unnamed: 0,id,name,popularity,track.track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists,dancebility_new,tempo_rate
32,5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,1,1,0.674,0.8809999999999999,9,-2.853,1,0.147,0.29600000000000004,3.01e-06,0.0793,0.23399999999999999,98.994,178480,4,Mabel,1,moderate
33,2TH65lNHgvLxCKXM3apjxI,Callaita,1,1,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4,Bad Bunny,1,very fast
34,116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),1,1,0.8170000000000001,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.06200000000001,210368,4,Bad Bunny,1,moderate
35,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,1,13,0.715,0.624,4,-3.0460000000000003,0,0.114,0.11,0.0,0.12300000000000001,0.41200000000000003,158.08700000000002,173325,4,Lizzo,1,fast
36,7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid),1,1,0.632,0.6859999999999999,6,-7.665,0,0.243,0.5489999999999999,0.0,0.2,0.32899999999999996,89.949,170770,4,benny blanco,1,moderate
37,4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - 2011 Mix,0,11,0.414,0.40399999999999997,0,-9.927999999999999,0,0.0499,0.271,0.0,0.3,0.22399999999999998,71.105,354320,4,Queen,0,slow
38,5W83ErFkO3aKAIS1WMi6u0,Secreto,1,1,0.807,0.8029999999999999,11,-4.156000000000001,1,0.126,0.602,0.00853,0.136,0.706,91.98700000000001,258800,4,Anuel AA,1,moderate
39,2ksOAxtIxY8yElEWw8RhgK,China,1,1,0.7859999999999999,0.8079999999999999,7,-3.702,1,0.0882,0.0846,0.00028900000000000003,0.0822,0.609,105.027,301714,4,Anuel AA,1,moderate
40,2bT1PH7Cw3J9p3t7nlXCdh,If I Can't Have You,1,3,0.691,0.823,2,-4.197,1,0.0623,0.48700000000000004,0.0,0.134,0.87,123.935,191467,4,Shawn Mendes,1,fast
41,1Ej96GIBCTvgH7tNX1r3qr,Otro Trago,1,3,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.03599999999997,225933,4,Sech,1,very fast
42,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,1,1,0.599,0.733,11,-7.058,1,0.203,0.17600000000000002,0.0,0.242,0.534,102.211,162583,4,Lauv,0,moderate
43,1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,1,1,0.677,0.7440000000000001,10,-6.806,0,0.0295,0.0404,0.00016,0.07400000000000001,0.631,124.08,152913,4,MEDUZA,1,fast
44,2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),1,3,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.11900000000000001,0.376,100.001,157202,4,Avicii,1,moderate
45,7dt6x5M1jzdTEt8oCbisTK,Better Now,0,9,0.68,0.578,10,-5.803999999999999,1,0.04,0.331,0.0,0.135,0.341,145.03799999999998,231267,4,Post Malone,1,fast
46,4t9a07PAghtQMRAIP9FQ7Z,Soltera - Remix,1,7,0.795,0.7829999999999999,5,-4.271,1,0.0432,0.361,0.0,0.43700000000000006,0.799,92.01,266087,4,Lunay,1,moderate
47,132ALUzVLmqYB4UsBj5qD6,Adan y Eva,1,4,0.767,0.7090000000000001,1,-4.47,1,0.336,0.32299999999999995,0.0,0.0745,0.72,171.993,256972,4,Paulo Londra,1,very fast
48,2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,0,4,0.652,0.557,1,-5.7139999999999995,0,0.0318,0.74,0.0,0.124,0.483,150.07299999999998,169354,4,Alec Benjamin,1,fast
49,0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),0,6,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.80100000000002,218147,4,Post Malone,0,fast
