id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,dancebility_new,tempo_rate,popularity
0tBbt8CrmxbjRP0pueQky,Wolves,Selena Gomez,0.72,0.807,11.0,-4.59,0.0,0.0432,0.129,0.0,0.183,0.305,124.946,197993.0,4.0,1,fast,1
7AFASza1mXqntmGtbxXpr,changes,XXXTENTACION,0.669,0.308,11.0,-10.068,1.0,0.028999999999999998,0.883,0.0,0.0984,0.52,64.934,121887.0,4.0,1,very slow,0
0E9ZjEAyAwOXZ7wJC0PD3,In My Mind,Dynoro,0.6940000000000001,0.77,6.0,-5.335,1.0,0.149,0.17600000000000002,1.1e-05,0.11800000000000001,0.163,125.905,184560.0,4.0,1,fast,1
1cS0TgbR263ey9jn0MwD2,River (feat. Ed Sheeran),Eminem,0.748,0.7490000000000001,8.0,-5.916,0.0,0.516,0.142,0.0,0.0713,0.659,90.09,221013.0,4.0,1,moderate,1
6KuqAtoeVzxAYOaMveLNp,Dura,Daddy Yankee,0.7909999999999999,0.848,1.0,-3.4560000000000004,1.0,0.0506,0.183,0.0,0.409,0.828,95.0,200480.0,4.0,1,moderate,1
2xLMifQCjDGFmkHkpNLD9,SICKO MODE,Travis Scott,0.8340000000000001,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.00799999999998,312820.0,4.0,1,fast,1
1zB4vmk8tFRmM9UULNzbL,Thunder,Imagine Dragons,0.605,0.8220000000000001,0.0,-4.833,1.0,0.0438,0.00671,0.134,0.147,0.28800000000000003,167.997,187147.0,4.0,1,fast,1
6jA8JUuPCGYjFcgw0AoM5,Me Niego,Reik,0.777,0.779,0.0,-4.449,0.0,0.0972,0.0543,0.0,0.636,0.768,94.023,221653.0,4.0,1,moderate,1
4kWO6O1BUXcZmaxitpVUw,Jackie Chan,Ti?sto,0.747,0.8340000000000001,3.0,-2.867,0.0,0.045,0.374,0.0,0.0586,0.687,128.005,215760.0,4.0,1,fast,1
3Vo4wInECJQuz9BIBMOu8,Finesse (Remix) [feat. Cardi B],Bruno Mars,0.7040000000000001,0.8590000000000001,5.0,-4.877,0.0,0.0996,0.0185,0.0,0.0215,0.9259999999999999,105.115,217289.0,4.0,1,moderate,1
4hQ6UGyWQIGJmHSo0J88J,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,0.601,0.7240000000000001,6.0,-4.856,1.0,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,207905.0,4.0,1,moderate,1
52okn5MNA47tk87PeZJLE,Let You Down,NF,0.6559999999999999,0.721,5.0,-5.665,0.0,0.122,0.298,0.0,0.17300000000000001,0.46799999999999997,148.066,212120.0,4.0,1,fast,1
1gm616Plq4ScqNi7TVkZ5,Call Out My Name,The Weeknd,0.489,0.598,1.0,-4.928999999999999,1.0,0.036000000000000004,0.218,0.0,0.35,0.172,134.045,228373.0,3.0,0,fast,1
7sO5G9EABYOXQKNPNiE9N,Ric Flair Drip (& Metro Boomin),Offset,0.88,0.428,9.0,-8.28,1.0,0.20600000000000002,0.149,5.07e-05,0.114,0.33299999999999996,100.007,172800.0,4.0,1,moderate,1
2dpaYNEQHiRxtZbfNsse9,Happier,Marshmello,0.687,0.792,5.0,-2.7489999999999997,1.0,0.0452,0.191,0.0,0.16699999999999998,0.6709999999999999,100.015,214290.0,4.0,1,moderate,1
1mXVgsBdtIVeCLJnSnmtd,Too Good At Goodbyes,Sam Smith,0.698,0.375,5.0,-8.279,1.0,0.0491,0.652,0.0,0.17300000000000001,0.534,91.92,201000.0,4.0,1,moderate,1
10Igtw8bSDyyFs7KIsKng,Freaky Friday (feat. Chris Brown),Lil Dicky,0.755,0.599,8.0,-5.042,1.0,0.22399999999999998,0.147,0.0,0.109,0.755,133.123,216632.0,4.0,1,fast,1
0pqnGHJpmpxLKifKRmU6W,Believer,Imagine Dragons,0.7759999999999999,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.6659999999999999,124.949,204347.0,4.0,1,fast,1
2E124GmJRnBJuXbTb4cPU,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,0.9309999999999999,0.387,1.0,-9.127,1.0,0.41200000000000003,0.08800000000000001,0.0,0.136,0.376,125.978,179405.0,4.0,1,fast,1
3KLygy1YWhmrQx0GRs7IO,Rise,Jonas Blue,0.687,0.785,1.0,-4.65,1.0,0.0333,0.327,0.0,0.203,0.655,106.046,194408.0,4.0,1,moderate,1
7K7MUBCnzgBAvMVW2RTWN,Body (feat. brando),Loud Luxury,0.752,0.764,1.0,-4.399,1.0,0.038,0.0476,9.44e-05,0.0543,0.5820000000000001,121.958,163216.0,4.0,1,fast,1
