,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artists
11,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",77,0.653,0.809,0,-4.057,1,0.0474,0.194,0.0,0.165,0.55,92.213,5CLGzJsGqhCEECcpnFQA8x,210773,4,Rudimental
12,Holder Fast,45,0.665,0.731,9,-4.007,0,0.0636,0.216,0.0,0.0813,0.512,101.961,0yJshzyh9qjjtiyLBbPglQ,192970,4,Hennedub
13,Love Lies (with Normani),77,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,45Egmo7icyopuzJN0oMEdk,201707,4,Khalid
14,Body (feat. brando),61,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,7K7MUBCnzgBAvMVW2RTWNs,163216,4,Loud Luxury
15,Sidste Timer,41,0.795,0.67,6,-7.194,0,0.0441,0.337,0.000187,0.116,0.782,104.889,0gOloXVox0hwdtty5VsCfS,176628,4,Sivas
16,FRIENDS,82,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,08bNPGLD8AhKpnnERrAc6G,202621,4,Marshmello
17,rockstar (feat. 21 Savage),86,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,0e7ipj03S05BNilyu5bRzt,218147,4,Post Malone
18,Lucid Dreams,7,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,0s3nnoMeVWz3989MkNQiRf,239836,4,Juice WRLD
19,Love Someone,65,0.538,0.409,9,-6.581,0,0.0505,0.172,0.0,0.11,0.265,171.838,3id2EVGKc3eFAMn9nFnB0r,205440,4,Lukas Graham
20,River (feat. Ed Sheeran),76,0.748,0.749,8,-5.916,0,0.516,0.142,0.0,0.0713,0.659,90.09,1cS0TgbR263ey9jn0MwD2s,221013,4,Eminem
21,In My Mind,82,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,0E9ZjEAyAwOXZ7wJC0PD33,184560,4,Dynoro
22,Nice For What,79,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,3CA9pLiwRIGtUBiMjbZmRw,210747,4,Drake
23,Eastside (with Halsey & Khalid),81,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,0d2iYfpKoM0QCKvcLCkBao,173800,4,benny blanco
24,Solo (feat. Demi Lovato),72,0.74,0.622,11,-4.608,0,0.0446,0.0357,4.85e-05,0.356,0.556,104.966,3NuK5xMlSlB6K2Qp16zf3h,222707,4,Clean Bandit
25,Taste (feat. Offset),79,0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,5IaHrVsrferBYDm0bDyABy,232959,4,Tyga
26,Jackie Chan,77,0.747,0.834,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005,4kWO6O1BUXcZmaxitpVUwp,215760,4,Tiësto
27,Zum Zum,50,0.826,0.51,1,-8.626,0,0.0813,0.5,0.000531,0.138,0.62,115.084,2lZEnKxY1v6wgR8ipQMwEI,179046,4,ZK
28,In My Feelings,81,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,2G7V7zsVDxg1yRsu7Ew9RJ,217925,4,Drake
29,Malibu,45,0.689,0.581,0,-5.955,1,0.0789,0.0675,0.0,0.388,0.539,102.748,0EmFeENh4mqxH9Lhro2Oib,191144,4,Skinz
30,Ligesom Mig,43,0.82,0.739,7,-4.871,0,0.0424,0.0638,0.0,0.249,0.682,97.964,14VTLEOzviOKVGAkA9uT2g,180817,4,KESI
31,The Middle,82,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,09IStsImFySgyp0pIQdqAc,184732,4,Zedd
32,Mine,79,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,7uzmGiiJyRfuViKKK3lVmR,131064,4,Bazzi
33,Freaky Friday (feat. Chris Brown),75,0.755,0.599,8,-5.042,1,0.224,0.147,0.0,0.109,0.755,133.123,10Igtw8bSDyyFs7KIsKngZ,216632,4,Lil Dicky
34,Su Casa,54,0.724,0.751,8,-4.144,0,0.0703,0.284,1.03e-06,0.0964,0.916,170.004,4yF9erb9bMUIRXr6QdPgP4,197176,4,KESI
35,Perfect Duet (Ed Sheeran & Beyoncé),75,0.587,0.299,8,-7.365,1,0.0263,0.779,0.0,0.123,0.356,94.992,1bhUWB0zJMIKr9yVPrkEuI,259550,3,Ed Sheeran
36,Rum Bum Bum,54,0.583,0.624,2,-5.478,0,0.0482,0.309,0.000335,0.0569,0.784,95.38,0QzldbZnd9gLpor4S2EzJc,158596,3,NAVID
37,IDGAF,56,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,5BG3hnp2SmFmoBIs3YTqsm,217947,4,Dua Lipa
38,Havana (feat. Young Thug),82,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,1rfofaqEpACxVEHIZBJe6W,217307,4,Camila Cabello
39,changes,84,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934,7AFASza1mXqntmGtbxXprO,121887,4,XXXTENTACION
40,Nevermind,79,0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,63SevszngYpZOwf63o61K4,156600,4,Dennis Lloyd
41,All The Stars (with SZA),78,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,3GCdLUSnKSMJhs4Tj6CV3s,232187,4,Kendrick Lamar
42,Be Alright,81,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,3EPXxR3ImUwfayaurPi3cm,196373,4,Dean Lewis
43,Jocelyn Flores,87,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,7m9OqQk4RVRkw9JJdeAw96,119133,4,XXXTENTACION
44,Girls Like You (feat. Cardi B),77,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,6FRLCMO5TUHTexlWo8ym1W,235545,4,Maroon 5
45,no tears left to cry,81,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,2qT1uLXPVPzGgFOx4jtEuo,205920,4,Ariana Grande
46,Tranquillo (feat. Branco),44,0.722,0.628,4,-6.895,0,0.0879,0.0168,0.0,0.136,0.303,103.007,69T50mZU6jlxdrrZrrxRNW,208544,4,Gilli
47,Moonlight,85,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,0JP9xo3adEtGSdUEISiszL,135090,4,XXXTENTACION
48,Say Something (feat. Chris Stapleton),71,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,1LhMopPAallLeaeNutqbgS,278893,4,Justin Timberlake
49,I Like It,82,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390,4,Cardi B
50,Sick Boy,0,0.548,0.687,11,-6.371,0,0.15,0.106,0.0,0.131,0.362,180.017,22nebdx3j16qQKRrm0mVe7,193947,4,The Chainsmokers
51,Shotgun,80,0.672,0.735,5,-4.733,1,0.0457,0.286,0.0,0.242,0.754,115.741,4ofwffwvvnbSkrMSCKQDaC,201287,4,George Ezra
52,I Miss You (feat. Julia Michaels),74,0.693,0.624,0,-7.482,0,0.0448,0.299,7.64e-06,0.0955,0.369,105.002,0Ult84lvFuqNvbyXwyRQ58,205987,4,Clean Bandit
53,For Mig Selv (feat. Gilli),40,0.719,0.753,5,-3.941,0,0.24,0.126,0.0,0.0768,0.408,109.826,1aeQAevfv8kyI3aiPlXjyl,172673,4,NODE
54,Promises (with Sam Smith),81,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,5N5k9nd479b1xpDZ4usjrg,213309,4,Calvin Harris
55,Meant to Be (feat. Florida Georgia Line),79,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,7iDa6hUg2VgEL1o1HjmfBn,163870,4,Bebe Rexha
56,Tilfældigt,38,0.578,0.619,1,-5.828,1,0.214,0.239,0.0,0.0959,0.324,149.923,5jWdZO2cAWXtk2lysIE5Pu,216714,4,Basim
57,Number,48,0.635,0.594,7,-5.289,0,0.0498,0.114,0.0,0.0652,0.238,159.924,3PzNjV3A8cRiQBUuFmtkQ7,179199,4,Alexander Oscar
58,In My Blood,79,0.622,0.712,5,-7.321,1,0.066,0.0573,0.0,0.13,0.487,140.025,2QZ7WLBE8h2y1Y5Fb8RYbH,211360,4,Shawn Mendes
59,Praise The Lord (Da Shine) (feat. Skepta),80,0.85,0.569,5,-8.152,0,0.136,0.0609,0.0816,0.1,0.294,80.02,7ycWLEP1GsNjVvcjawXz3z,205040,4,A$AP Rocky
60,Rise,2,0.687,0.785,1,-4.65,1,0.0333,0.327,0.0,0.203,0.655,106.046,3KLygy1YWhmrQx0GRs7IOx,194408,4,Jonas Blue
61,2002,73,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,4Pbg79cTBu4vgSphoyNq3j,186987,4,Anne-Marie
62,Velsignet - Har Det Godt pt. 2,50,0.623,0.897,2,-4.946,1,0.107,0.0109,0.0,0.045,0.574,133.909,5gJ8xepOK2zsUfaRLX1ANX,185504,4,Ude Af Kontrol
63,Like I Do,70,0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978,6RnkFd8Fqqgk1Uni8RgqCQ,202500,4,David Guetta
64,No Brainer,74,0.552,0.76,0,-4.706,1,0.342,0.0733,0.0,0.0865,0.639,135.702,5WvAo7DNuPRmk4APhdPzi8,260000,5,DJ Khaled
65,Don’t Matter To Me (with Michael Jackson),73,0.822,0.318,10,-12.391,1,0.0575,0.493,0.0128,0.11,0.138,102.998,6G8kHiVZ1jW7vHMPVRNZU0,245787,4,Drake
66,Sweet but Psycho,85,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,25sgk305KZfyuqVBQIahim,187436,4,Ava Max
67,Pray For Me (with Kendrick Lamar),75,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,77UjLW8j5UAGAGVGhR5oUK,211440,4,Kendrick Lamar
68,Barking,70,0.45,0.465,7,-7.867,0,0.268,0.185,0.0,0.0782,0.788,70.231,2U5cq89GCnsR1yixKkC8d5,202827,3,Ramz
69,Glad,46,0.593,0.712,8,-6.078,0,0.264,0.0779,0.0,0.269,0.48,199.918,7IswsfMQkmjm1FQ2iT3sbw,207575,4,Bro
70,Flawless,48,0.744,0.598,11,-7.102,0,0.0273,0.03,0.0,0.121,0.502,110.006,00xE0XQaGE9ScphTFr0PJM,208643,4,Mads Langer
71,Mon P'tit Loup,43,0.729,0.642,7,-6.029,0,0.0885,0.213,0.00277,0.108,0.649,102.988,4KzpgkWZvobrSk9z63tvNS,199815,4,Gilli
72,Candy Paint,78,0.664,0.667,4,-5.941,1,0.154,0.64,1.22e-06,0.0753,0.381,180.064,32lItqlMi4LBhb4k0BaSaC,227533,4,Post Malone
73,Wolves,79,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,0tBbt8CrmxbjRP0pueQkyU,197993,4,Selena Gomez
74,I Love It (& Lil Pump),76,0.901,0.522,2,-8.304,1,0.33,0.0114,0.0,0.259,0.329,104.053,4S8d14HvHb70ImctNgVzQQ,127947,4,Kanye West
75,Whenever (feat. Conor Maynard),71,0.734,0.765,7,-5.562,1,0.0621,0.151,0.0,0.231,0.518,109.989,3DGar7krWlmrXRFHBcQF6z,163636,4,Kris Kross Amsterdam
76,AMG,51,0.933,0.639,10,-4.967,0,0.163,0.005,4.48e-06,0.0603,0.336,98.024,12upFOLFbpQ5nTENWm2Glj,153916,4,MellemFingaMuzik
77,Back To You - From 13 Reasons Why – Season 2 Soundtrack,76,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,4hQ6UGyWQIGJmHSo0J88JW,207905,4,Selena Gomez
78,Bad,51,0.761,0.585,1,-7.252,0,0.1,0.0664,0.0,0.505,0.684,96.09,6L2TOTO0JjlVuKBnIuWcVY,190372,4,Christopher
79,Heaven,72,0.552,0.371,7,-9.104,0,0.0359,0.857,0.0,0.0838,0.245,199.843,1T575AhHueYinKSDflEsGK,191787,3,Various Artists
80,Strongest,61,0.538,0.595,0,-7.398,1,0.112,0.0874,6.48e-06,0.161,0.334,183.736,7FIcIjKaQJpy0vWWFZMZGH,207333,4,Ina Wroldsen
81,Happier,86,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,2dpaYNEQHiRxtZbfNsse99,214290,4,Marshmello
82,Let You Down,82,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,52okn5MNA47tk87PeZJLEL,212120,4,NF
83,Worry,47,0.734,0.685,1,-5.788,1,0.0526,0.0192,4.02e-06,0.127,0.436,100.075,1HbdS6DUrJbxWj1vnrXHsD,228446,4,FOOL
84,Look Alive (feat. Drake),77,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,4qKcDkK6siZ7Jp1Jb4m0aL,181263,4,BlocBoy JB
85,Good Together,38,0.803,0.522,10,-7.777,0,0.0874,0.654,0.0,0.11,0.73,98.004,259pBM4bY2oZTCCgTj3ChP,217678,4,Scarlet Pleasure
86,Carnalismo (feat. Gilli & Branco),35,0.834,0.754,8,-6.407,0,0.0874,0.0539,0.0,0.134,0.817,109.998,2zo3xmyUOxvnZ4qy3BQFwa,179826,4,NODE
87,Finesse - Remix; feat. Cardi B,75,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,3Vo4wInECJQuz9BIBMOu8i,217289,4,Bruno Mars
88,Ekstra,46,0.765,0.668,5,-5.667,0,0.111,0.088,0.0,0.0967,0.714,143.987,3G3mTTR1EDmce8zZIdapM6,190000,4,KESI
89,Ocean (feat. Khalid),73,0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,3nc420PXjTdBV5TN0gCFkS,216420,4,Martin Garrix
90,Højre Og Venstre (feat. Ericka Jane),43,0.521,0.478,10,-7.384,0,0.149,0.219,0.0,0.23,0.365,82.572,610KxSt2HNjczZ2ic2Yr9q,173912,4,Skinz
91,Better,74,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,4T3fNx3CgwDRRYgmFCbD4J,229413,4,Khalid
92,La Fami,43,0.864,0.693,10,-5.571,0,0.0516,0.462,0.0,0.167,0.851,118.962,6iKh27IuddYWKDKC6x5NtM,167435,4,Fouli
93,Anywhere,69,0.628,0.797,11,-3.953,0,0.0596,0.0364,0.0,0.104,0.321,106.93,7EI6Iki24tBHAMxtb4xQN2,215064,4,Rita Ora
94,LA CRIMINAL,41,0.642,0.718,2,-5.097,0,0.076,0.246,0.0,0.125,0.583,103.842,6GfqrsrHtwS9gUmZ6ZjPtu,189266,4,MellemFingaMuzik
95,Flames,73,0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,33IOhptvC2Qoy2UhjiHXLV,195000,4,David Guetta
96,OTW,76,0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989,6Hgh47WXVKtXN5zGOu0hjI,263014,4,Khalid
97,SICKO MODE,90,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,2xLMifQCjDGFmkHkpNLD9h,312820,4,Travis Scott
98,Colombiana (feat. Gilli),36,0.801,0.56,2,-7.144,1,0.0859,0.384,0.0,0.106,0.165,119.931,0DMrRNa5ZEeIuEyHM7t1QH,198642,4,Sivas
99,Falling Down - Bonus Track,83,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4jvjzW7Hm0yK4LvvE0Paz9,196400,4,Lil Peep
