,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artists
0,Sydpå,54,0.807,0.716,10,-5.27,1,0.154,0.184,0.0,0.097,0.667,99.938,1lahfyqBPVvBIxf3XgmQmZ,186627,4,Bro
1,Langsom,50,0.6,0.658,8,-7.474,0,0.0921,0.0915,0.0,0.156,0.518,195.67,5fQiM6oa6M00dBNNcS6pSc,209011,4,Gilli
2,Kom Over,54,0.489,0.69,8,-5.352,1,0.0856,0.0859,0.0,0.288,0.651,98.0,6Lu7LCf7t7V6X7i4NQywcT,196165,4,KESI
3,God's Plan,84,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,6DCZcSspjsKoFjzjrWoCdn,198973,4,Drake
4,Strapped,50,0.734,0.677,9,-5.879,0,0.04,0.0445,0.0,0.398,0.592,140.072,3o6VhtL6rH2rBzsN8XvfWg,184180,4,FOOL
5,SAD!,86,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,3ee8Jmje8o58CHK66QrVC2,166606,4,XXXTENTACION
6,Better Now,84,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,7dt6x5M1jzdTEt8oCbisTK,231267,4,Post Malone
7,Oui,55,0.837,0.802,4,-6.507,0,0.188,0.0244,0.00874,0.307,0.453,127.008,7j8K8PE1tO2TvhY15E8ZcD,188273,4,Sivas
8,One Kiss (with Dua Lipa),83,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,7ef4DlsgrMEH11cDZd32M6,214847,4,Calvin Harris
9,Youngblood,82,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,203418,4,5 Seconds of Summer
10,Psycho (feat. Ty Dolla $ign),81,0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.459,140.06,3swc6WTsr7rl9DqQKQA55C,221440,4,Post Malone
