,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artists
0,Señorita,83,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2,190800,4,Shawn Mendes
1,bad guy,90,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,194088,4,Billie Eilish
2,Sunflower - Spider-Man: Into the Spider-Verse,83,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,0RiRZpuVRbi7oqRdSMwhQY,157560,4,Post Malone
3,7 rings,86,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,6ocbgoVGwYJhOv1GgI9NsF,178627,4,Ariana Grande
4,Old Town Road - Remix,85,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,2YpeDb67231RjR0MgVLzsG,157067,4,Lil Nas X
5,I Don't Care (with Justin Bieber),80,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,0hVXuCcriWRGvwMV1r5Yn9,219947,4,Ed Sheeran
6,Wow.,84,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,7xQAfvXzm3AkraOtGPWIZg,149547,4,Post Malone
7,Someone You Loved,91,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,182161,4,Lewis Capaldi
8,Con Calma,83,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,5w9c2J52mkdntKOmRLeM2m,193227,4,Daddy Yankee
9,Shallow,85,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,2VxeLyX666F8uXCJ0dZF8B,215733,4,Lady Gaga
10,Happier,86,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,2dpaYNEQHiRxtZbfNsse99,214290,4,Marshmello
11,Without Me,83,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,5p7ujcrUXASCNwRaWNHR1C,201661,4,Halsey
12,Calma - Remix,82,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,5iwz1NiezX7WWjnCgY5TH4,238200,4,Pedro Capó
13,"thank u, next",84,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,3e9HZxeyfWwjeyPAMmWSSQ,207320,4,Ariana Grande
14,Sucker,84,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,22vgEDb5hykfaTwLuskFGD,181027,4,Jonas Brothers
15,Sweet but Psycho,85,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,25sgk305KZfyuqVBQIahim,187436,4,Ava Max
